HJD	Relative_Flux	uFlux
2452791.35362900	0.984189000000000	0.000433000000000000
2452791.35408000	0.983828000000000	0.000433000000000000
2452791.35453200	0.984200000000000	0.000433000000000000
2452791.35498300	0.983825000000000	0.000433000000000000
2452791.35661500	0.984200000000000	0.000433000000000000
2452791.35706600	0.984216000000000	0.000433000000000000
2452791.35751800	0.984781000000000	0.000433000000000000
2452791.35796900	0.984743000000000	0.000433000000000000
2452791.35842100	0.983898000000000	0.000433000000000000
2452791.35887200	0.984149000000000	0.000433000000000000
2452791.35932300	0.983832000000000	0.000433000000000000
2452791.35977500	0.983734000000000	0.000433000000000000
2452791.36022600	0.983729000000000	0.000433000000000000
2452791.36067800	0.983439000000000	0.000433000000000000
2452791.36112900	0.983731000000000	0.000433000000000000
2452791.36158100	0.984044000000000	0.000433000000000000
